"Код","Название","Адрес"
"1,625","Продуктовый магазин","Шардара, 1/9"
"1,626","Продуктовый магазин","Тасбулак, 59/2"
"1,627","Продуктовый магазин","Нуртас, 2"
"1,628","Продуктовый магазин","Искакова, 5/3"
"1,629","Продуктовый магазин","Ибрагим ата, 227, 1 этаж"
"1,630","Продуктовый магазин","Булбул, 5/9"
"1,631","Продуктовый магазин","Галицына, 15/1"
"1,632","Продуктовый магазин","Музтау, 2/5"
"1,633","Продуктовый магазин","2-я улица, 160/4"
"1,634","Продуктовый магазин","2-я улица, 16/05"
"1,635","Продуктовый магазин","Каган, 15"
"1,636","Продуктовый магазин","Балкыбекова, 1/5"
"1,637","Продуктовый магазин","Бекмаханова, 2"
"1,638","Продуктовый магазин","Манкент, 31/1"
"1,639","Продуктовый магазин","Жибек жолы, 18/4"
"1,640","Продуктовый магазин","Ак Алтын, 2/10"
"1,641","Продуктовый магазин","Бейбитшилик, 8Б, 1 этаж"
"1,642","Продуктовый магазин","Бауыржан Момышулы проспект, 13, 1 этаж"
"1,643","Продуктовый магазин","Клары Цеткин, 93/1"
"1,644","Продуктовый магазин","Байдибек би проспект, 20/5"
"1,645","Продуктовый магазин","Амур ага, 52/1"
"1,646","Продуктовый магазин","Жиделибайсын, 92, 1 этаж"
"1,647","Продуктовый магазин","Капал батыра, 119"
"1,648","Продуктовый магазин","Мейримди, 133, 1 этаж"
"1,649","Продуктовый магазин","Жана жол, 34/1"
"1,650","Продуктовый магазин","Гулдала, 6/2"
"1,651","Продуктовый магазин","Аскар Тау, 2/1"
"1,652","Продуктовый магазин","Бершинтобе, 99/2"
"1,653","Продуктовый магазин","Жасталап, 28/1"
"1,654","Продуктовый магазин","Жастар, 125/1"
"1,655","Продуктовый магазин","Момынова, 1/7"
"1,656","Продуктовый магазин","Кулжабай Толеуова, 30"
"1,657","Продуктовый магазин","Амангельды, 95/1"
"1,658","Продуктовый магазин","Шардара, 4/2"
"1,659","Продуктовый магазин","Алибекова, 157"
"1,660","Продуктовый магазин","Тайбекова, 106/1"
"1,661","Продуктовый магазин","Мухаметкула Исламкулова, 97/1"
"1,662","Продуктовый магазин","Момынова, 1/3"
"1,663","Продуктовый магазин","Сайрамское шоссе, 3, 1 этаж"
"1,664","Продуктовый магазин","Амира Тимура, 225"
"1,665","Продуктовый магазин","Туркестан, 79/1"
"1,666","Продуктовый магазин","Мамак Сыздыкулы, 31"
"1,667","Продуктовый магазин","Кызылкол, 5/1"
"1,668","Продуктовый магазин","Омарташы, 2Б/1"
"1,669","Продуктовый магазин","Асар микрорайон, 905/1"
"1,670","Продуктовый магазин","Бирлик, 2/1"
"1,671","Продуктовый магазин","Шалкаркол, 35/1"
"1,672","Продуктовый магазин","Алматинская трасса, 138/15"
"1,673","Продуктовый магазин","Серикбаева, 10"
"1,674","Продуктовый магазин","Асар 2 микрорайон, 5/6"
"1,675","Продуктовый магазин","Абдраймова, 11"
"1,676","Продуктовый магазин","Амира Тимура, 327/1"
"1,677","Продуктовый магазин","Жибек жолы, 9/7"
"1,678","Продуктовый магазин","Гозахан, 43а/1"
"1,679","Продуктовый магазин","Абдраймова, 2/7"
"1,680","Продуктовый магазин","Тамерлановское шоссе, 14/8"
"1,681","Продуктовый магазин","Гулдер, 2"
"1,682","Продуктовый магазин","Байдибек би проспект, 13"
"1,683","Продуктовый магазин","Мамадаева, 55"
"1,684","Продуктовый магазин","Амира Тимура, 237/19"
"1,685","Продуктовый магазин","Айбар, 23/1"
"1,686","Продуктовый магазин","Жуманова, 22/1"
"1,687","Продуктовый магазин","Жибек жолы, 179/2"
"1,688","Продуктовый магазин","Гагарина, 24а"
"1,689","Продуктовый магазин","Жандосова, 73, 1 этаж, 102 кабинет"
"1,690","Продуктовый магазин","Жиделибайсын, 68, 1 этаж"
"1,691","Продуктовый магазин","Алдиярова, 87, 1 этаж"
"1,692","Продуктовый магазин","Алдиярова, 2, 1 этаж"
"1,693","Продуктовый магазин","18-й микрорайон, 4/3"
"1,694","Продуктовый магазин","Абая проспект, 26, 1 этаж"
"1,695","Продуктовый магазин","Восток микрорайон, 63, 1 этаж"
"1,696","Продуктовый магазин","Тамерлановское шоссе, 22/18"
"1,697","Продуктовый магазин","Бостан Алимбекова, 37"
"1,698","Продуктовый магазин","Кабанбай батыра проспект, 5"
"1,699","Продуктовый магазин","Торекулова, 216а, 1 этаж"
"1,700","Продуктовый магазин","Гагарина, 107, 1 этаж"
"1,701","Продуктовый магазин","Дулати, 62"
"1,702","Продуктовый магазин","Кабанбай батыра проспект, 6, 1 этаж"
"1,703","Продуктовый магазин","Манасова, 8/1"
"1,704","Продуктовый магазин","Толе би, 12а, 1 этаж"
"1,705","Продуктовый магазин","Алтынсарина, 5"
"1,706","Продуктовый магазин","Толе би, 32а/2"
"1,707","Продуктовый магазин","Азаттык, 4"
"1,708","Продуктовый магазин","Жиделибайсын, 50"
"1,709","Продуктовый магазин","Каратюбинское шоссе, 36"
"1,710","Продуктовый магазин","Абдыразакова, 10, 1 этаж"
"1,711","Продуктовый магазин","Терешковой, 48, 1 этаж"
"1,712","Продуктовый магазин","Дулати, 200/2"
"1,713","Продуктовый магазин","Сарыозек, 603/4"
"1,714","Продуктовый магазин","Жибек жолы, 97/1"
"1,715","Продуктовый магазин","Уржар, 8/1"
"1,716","Продуктовый магазин","Жибек жолы, 93"
"1,717","Продуктовый магазин","Момышулы, 1/6"
"1,718","Продуктовый магазин","Турсынбаева, 30/1"
"1,719","Продуктовый магазин","Аль-Фараби, 21/1"
"1,720","Продуктовый магазин","Алпамыс батыра, 1/2"
"1,721","Продуктовый магазин","Болсынай Даулбаева, 1/1"
"1,722","Продуктовый магазин","Сайрамская, 82, 1 этаж"
"1,723","Продуктовый магазин","Сыздыкова, 1/4"
"1,724","Продуктовый магазин","Талтус, 4"
"1,725","Продуктовый магазин","Павлова, 21а"
"1,726","Продуктовый магазин","Ермекова, 20/1"
"1,727","Продуктовый магазин","Сураншы батыра, 24/1"
"1,728","Продуктовый магазин","Оркендеу, 22/1"
"1,729","Продуктовый магазин","Акжауын, 42/1"
"1,730","Продуктовый магазин","Чайковского, 85/2"
"1,731","Продуктовый магазин","Туркестанская, 85, 1 этаж"
"1,732","Продуктовый магазин","Майлы Кожа, 1, 1 этаж"
"1,733","Продуктовый магазин","ПМК-21, 15/1"
"1,734","Продуктовый магазин","Султанова, 37/1"
"1,735","Продуктовый магазин","Курылыс, 1/1"
"1,736","Продуктовый магазин","Гагарина, 244/3"
"1,737","Продуктовый магазин","Жубанова, 90/1"
"1,738","Продуктовый магазин","Камытбек Мамешов, 77/77"
"1,739","Продуктовый магазин","Бозтоган, 2/1"
"1,740","Продуктовый магазин","Камбарулы, 36/1"
"1,741","Продуктовый магазин","Шардара, 19/2"
"1,742","Продуктовый магазин","Ленина, 7а, 1 этаж"
"1,743","Продуктовый магазин","Бершинтобе, 99"
"1,744","Продуктовый магазин","Ахметова, 22/1, 1 этаж"
"1,745","Продуктовый магазин","Майлы Кожа, 63"
"1,746","Продуктовый магазин","Ташенова, 77"
"1,747","Продуктовый магазин","Рашидова, 14а/8, 1 этаж"
"1,748","Продуктовый магазин","Жанкожа батыра, 70"
"1,749","Продуктовый магазин","Тойганбаева, 7/1, 1 этаж"
"1,750","Продуктовый магазин","Юсупова, 40"
"1,751","Продуктовый магазин","Рыскулова, 141/8"
"1,752","Продуктовый магазин","Байдукова, 63/2"
"1,753","Продуктовый магазин","Сеченова, 23"
"1,754","Продуктовый магазин","Кенесарина, 10/1"
"1,755","Продуктовый магазин","15-й микрорайон, 7, 1 этаж"
"1,756","Продуктовый магазин","Алдиярова, 2/4"
"1,757","Продуктовый магазин","Нуртас, 12"
"1,758","Продуктовый магазин","Бейбитшилик, 12"
"1,759","Продуктовый магазин","Наурыз, 33/1"
"1,760","Продуктовый магазин","Республики проспект, 17"
"1,761","Продуктовый магазин","Нурсат микрорайон, 135а, 0 этаж"
"1,762","Продуктовый магазин","Аргынбекова, 7/1а"
"1,763","Продуктовый магазин","Тамерлановское шоссе, 46/6Б"
"1,764","Продуктовый магазин","Республики проспект, 46а, 1 этаж"
"1,765","Продуктовый магазин","Республики проспект, 46а, 1 этаж"
"1,766","Продуктовый магазин","Павлова, 21а"
"1,767","Продуктовый магазин","Республики проспект, 46а, 1 этаж"
"1,768","Продуктовый магазин","Республики проспект, 46а, 1 этаж"
"1,769","Продуктовый магазин","Рыскулова, 359/13"
"1,770","Продуктовый магазин","Рыскулова, 26/2"
"1,771","Продуктовый магазин","Тамерлановское шоссе, 22/7"
"1,772","Продуктовый магазин","Тамерлановское шоссе, 129, 1 этаж"
"1,773","Продуктовый магазин","Жиделибайсын, 92, 1 этаж"
"1,774","Продуктовый магазин","Республики проспект, 46а, 1 этаж"
"1,775","Продуктовый магазин","Республики проспект, 46а, 1 этаж"
"1,776","Продуктовый магазин","Токбайге, 44"
"1,777","Продуктовый магазин","Алимкулова, 5, 1 этаж"
"1,778","Продуктовый магазин","Байтурсынова, 5/6, 1 этаж"
"1,779","Продуктовый магазин","Рашидова, 34/5"
"1,780","Продуктовый магазин","Рашидова, 14а/2, 1 этаж"
"1,781","Продуктовый магазин","Жибек жолы, 39/4"
"1,782","Продуктовый магазин","Жиделибайсын, 80/6"
"1,783","Продуктовый магазин","Жиделибайсын, 33/3"
"1,784","Продуктовый магазин","Кос-Диермен, 1/2"
"1,785","Продуктовый магазин","18-й микрорайон, 4/2"
"1,786","Продуктовый магазин","Жиделибайсын, 72"
"1,787","Продуктовый магазин","Тамерлановское шоссе, 202, 1 этаж"
"1,788","Продуктовый магазин","Восток микрорайон, 18/1"
"1,789","Продуктовый магазин","Адырбекова, 2/2, 1 этаж"
"1,790","Продуктовый магазин","Толе би, 9/12"
"1,791","Продуктовый магазин","Турсынбаева, 30/4"
"1,792","Продуктовый магазин","Алматинская трасса, 6/12"
"1,793","Продуктовый магазин","Бес Агаш, 27/1"
"1,794","Продуктовый магазин","18-й микрорайон, 54"
"1,795","Продуктовый магазин","Байтурсынова, 5/6, 1 этаж"
"1,796","Продуктовый магазин","Салавата Юлаева, 40/1"
"1,797","Продуктовый магазин","Нурсат микрорайон, 135в, 1 этаж"
"1,798","Продуктовый магазин","Восток микрорайон, 31/7, 1 этаж"
"1,799","Продуктовый магазин","Шымсити, 1375"
"1,800","Продуктовый магазин","Козы Корпеш, 10/1"
"1,801","Продуктовый магазин","Естемес би, 10"
"1,802","Продуктовый магазин","Ибрагим ата, 293а, 1 этаж"
"1,803","Продуктовый магазин","Инкардария, 18"
"1,804","Продуктовый магазин","Алматинская трасса, 5/6"
"1,805","Продуктовый магазин","Есенова, 5/5"
"1,806","Продуктовый магазин","Байдибек би проспект, 130/7"
"1,807","Продуктовый магазин","Тореза, 6Б"
"1,808","Продуктовый магазин","Шмидта, 9"
"1,809","Продуктовый магазин","Сатыбалдиева, 17/4"
"1,810","Продуктовый магазин","Есенова, 29"
"1,811","Продуктовый магазин","Бекмаханова, 40"
"1,812","Продуктовый магазин","2-я улица, 1835"
"1,813","Продуктовый магазин","Бекмаханова, 3"
"1,814","Продуктовый магазин","Керимбая Отебаева, 1"
"1,815","Продуктовый магазин","Керимбая Отебаева, 1/3"
"1,816","Продуктовый магазин","Улугбека, 79/1"
"1,817","Продуктовый магазин","5-я  улица, 1"
"1,818","Продуктовый магазин","Актам, 26/1, 1 этаж"
"1,819","Продуктовый магазин","Амира Тимура, 297/1, 1 этаж"
"1,820","Продуктовый магазин","Сайрамская, 45д/5"
"1,821","Продуктовый магазин","Абая, 32/2, 1 этаж"
"1,822","Продуктовый магазин","Жибек жолы, 9/6"
"1,823","Продуктовый магазин","Жантаева, 93"
"1,824","Продуктовый магазин","Ак Алтын, 4/2"
"1,825","Продуктовый магазин","Жантаева, 31/1"
"1,826","Продуктовый магазин","Фуркат 6-й проезд, 16/1"
"1,827","Продуктовый магазин","Ергеш ата Исраилова, 97/1"
"1,828","Продуктовый магазин","Амира Тимура, 237/13, 1 этаж"
"1,829","Продуктовый магазин","Амира Тимура, 237/15"
"1,830","Продуктовый магазин","Тастан, 4/1"
"1,831","Продуктовый магазин","Ибрагим ата, 113/46"
"1,832","Продуктовый магазин","Юсуфа Сареми, 50/3, 1 этаж"
"1,833","Продуктовый магазин","Юсуфа Сареми, 56/1"
"1,834","Продуктовый магазин","Юсуфа Сареми, 110"
"1,835","Продуктовый магазин","Юсуфа Сареми, 1/3"
"1,836","Продуктовый магазин","Ибрагим ата, 93/1"
"1,837","Продуктовый магазин","Менделеева, 19"
"1,838","Продуктовый магазин","Юсуфа Сареми, 1/19"
"1,839","Продуктовый магазин","Юсуфа Сареми, 37/1"
"1,840","Продуктовый магазин","Юсуфа Сареми, 27/3, 1 этаж"
"1,841","Продуктовый магазин","Ергеш ата Исраилова, 29/4"
"1,842","Продуктовый магазин","Ергеш ата Исраилова, 29/1"
"1,843","Продуктовый магазин","Юсуфа Сареми, 112/3"
"1,844","Продуктовый магазин","Сатыбалдиева, 30/3"
"1,845","Продуктовый магазин","Дружбы, 18/2"
"1,846","Продуктовый магазин","Сатыбалдиева, 30/1"
"1,847","Продуктовый магазин","Амира Тимура, 121"
"1,848","Продуктовый магазин","Ибрагим ата, 20а, 1 этаж"
"1,849","Продуктовый магазин","Искандар, 37/1"
"1,850","Продуктовый магазин","Бейсенбиева, 12"
"1,851","Продуктовый павильон","Туркестан, 55а"
"1,852","Продукты 113","Амангельды, 107а/1"
"1,853","Продукты 12","Отырар микрорайон, 12/1"
"1,854","Продукты 124","Клары Цеткин, 126а"
"1,855","Продукты 16","Сеченова, 16"
"1,856","Продукты 17","Кабанбай батыра проспект, 9/1"
"1,857","Продукты 21","Тауасарова, 21/1"
"1,858","Продукты 38","Гагарина, 38/1"
"1,859","Продукты 54","Коктем, 54"
"1,860","Продукты 56","Каламбаева, 56"
"1,861","Рабия","Хамза, 1"
"1,862","Радуга","Байтурсынова, 7/2"
"1,863","РАЙ","Кабанбай батыра проспект, 5, 1 этаж"
"1,864","Райхан","4-й микрорайон, 17а/2, 1 этаж"
"1,865","Райхан","Кеме калган, 1/4, 1 этаж"
"1,866","Райхан ана","Шардара, 19/1"
"1,867","Райхона","Никитина, 32/2"
"1,868","Ралас","Сурикова, 3а"
"1,869","Рауан","Куаныш Толеметова, 10/5"
"1,870","Рауан","Жибек жолы, 196/1, 1 этаж"
"1,871","РАУШАН","Тауке Хана проспект, 190, 1 этаж"
"1,872","Рахат","Нуртас, 93"
"1,873","Рахат","Назармат Ерметова, 46, 1 этаж"
"1,874","Рахат","Север микрорайон, 3, 1 этаж"
"1,875","Рахат","Бокейханова, 864/1"
"1,876","Рахат","Республики проспект, 15"
"1,877","Рахат","Нурсат микрорайон, 143/1, 1 этаж"
"1,878","Рахат","Толе би, 19, 1 этаж"
"1,879","Рахат","Кабанбай батыра проспект, 11Б, 1 этаж"
"1,880","Рахат","Гагарина, 26"
"1,881","Рахат","Бауыржан Момышулы проспект, 53/5, 1 этаж"
"1,882","Рахат","Жиделибайсын, 80/2"
"1,883","Рахим","Тажибаева, 32"
"1,884","Рахима","Жангельдина, 10"
"1,885","Рахия","Куаныш Толеметова, 69/37, 0 этаж"
"1,886","Рахматулла ата","Новостройка, 2/1"
"1,887","Рахмет","Талдысай, 710"
"1,888","Рахмет","Усенова, 28/1"
"1,889","Рахым","Аргынбекова, 68/1"
"1,890","Рахымжан","Алматинская трасса, 23/5"
"1,891","Рахымжан","Толе би, 32а/2"
"1,892","РАЯН","Алтын адам, 7/2"
"1,893","Реал","Ибрагим ата, 176а/3"
"1,894","Риза","Айбергенова, 10, 1 этаж"
"1,895","Рихсибуви","Гулистан, 14"
"1,896","Родничок","Желтоксан, 176"
"1,897","Роза Апа","Кок сай 1 микрорайон, 463"
"1,898","Розмат Ата","Жиделибайсын, 72"
"1,899","Розовый","Балкыбекова, 1/2"
"1,900","Россинка","Бауыржан Момышулы проспект, 18, 1 этаж"
"1,901","Рошен","8-й микрорайон, 62, 1 этаж"
"1,902","Руслан","Казанкап акына, 1/3Б"
"1,903","Руслан","Республики проспект, 18, 1 этаж"
"1,904","Руслан","4-й микрорайон, 9/3"
"1,905","Руслан и Амина","Рыскулова, 359/13"
"1,906","Рустам","Алпысбаева, 113/1"
"1,907","Рустам","Узбек, 2/7"
"1,908","Рустам","Аль-Фараби, 19/1"
"1,909","Рустем","Север микрорайон, 2, 1 этаж"
"1,910","Рыск?л апа","Шымкентская, 22/1, 1 этаж"
"1,911","С???ар","Желтоксан, 6"
"1,912","Сұлтан","Шокана Уалиханова, 225/15"
"1,913","С?лтан","Дулати, 202/1"
"1,914","С?ЛТАН","Отырар, 1/1"
"1,915","С?лтан","Муратова, 2"
"1,916","С?т","Туркестанская, 2/2, 1 этаж"
"1,917","С?т","Рыскулова, 1а"
"1,918","С?т","Алпамыс батыра, 2/7"
"1,919","С?т","Сырым батыра, 92, 1 этаж"
"1,920","С?т","Байдибек би проспект, 7/3, 1 этаж"
"1,921","С?т","Нурсат микрорайон, 203, 1 этаж"
"1,922","С?уле","Гулдер Ай, 37/1"
"1,923","Са-На","8-й микрорайон, 10, 1 этаж"
"1,924","Са?и","Отырар микрорайон, 59/1"
"1,925","Сабина","Сайрам микрорайон, 10/3, 1 этаж"
"1,926","Сабит","Майлы Кожа, 182а"
"1,927","Сабит","Мангельдина, 39а, 1 этаж"
"1,928","Сабыржан ата","Куртаева, 350/3"
"1,929","САИЛАУ","Республики проспект, 42/1"
"1,930","Сайдикрам ата","Абдулла Абад, 82/3"
"1,931","Сайдулла ата","Махмудова, 18"
"1,932","Сайдулла Ата","Амира Тимура, 220/1"
"1,933","Сайдыгани","Алпысбаева, 127/2, 1 этаж"
"1,934","Сайёра","Туркестанская, 185"
"1,935","Сайлаубек","Бозтоган, 1/4"
"1,936","Сайман","Байтерекова, 9а/1"
"1,937","Сайрам","Сайрам микрорайон, 24, 1 этаж"
"1,938","Сайрам-су","Жамалова, 4/4"
"1,939","Саламат","Рыскулова, 18/1, 1 этаж"
"1,940","САЛЕМ","Гани Иляева, 292а"
"1,941","Салих","Алматинская трасса, 25а/2"
"1,942","Салиха","Гагарина, 213, 1 этаж"
"1,943","Салтанат","Гани Иляева, 17, 1 этаж"
"1,944","Салтанат","Гагарина, 149а, 1 этаж"
"1,945","Салтанат","Баян батыра, 43"
"1,946","Салтанат","Восток микрорайон, 34"
"1,947","Салтанат","Шамши Калдаякова, 4, 1 этаж"
"1,948","САЛТАНАТ","Шардара, 3/9"
"1,949","Салтанат","Гагарина, 143, 1 этаж"
"1,950","Салтанат","Алимкулова, 2, 1 этаж"
"1,951","Салтанат","Карасу микрорайон, 85"
"1,952","Салтанат","Капал батыра, 177/4"
"1,953","Самал-2","Аргынбекова, 88, 1 этаж"
"1,954","Самат","Торекулова, 256/1"
"1,955","Самир","Амира Тимура, 237/3, 1 этаж"
"1,956","Самко","Таубалытас, 38"
"1,957","Самэул","Клары Цеткин, 101/2"
"1,958","Сан Лайт","Бауыржан Момышулы проспект, 64"
"1,959","Сандугаш","Ак Алтын, 3/1"
"1,960","САНДУГАШ","16-й микрорайон, 9"
"1,961","Санжар","Толе би, 19, 1 этаж"
"1,962","Санжар","Дулати, 181"
"1,963","Санжар","Аль-Фараби, 148"
"1,964","Санобар","Хамзы, 77/1"
"1,965","САНЧО","Север микрорайон, 47, 1 этаж"
"1,966","Саодат","Седова, 1/1"
"1,967","Саодат","Алимбетова, 135/3, 1 этаж"
"1,968","Сапар","Инкардария, 43"
"1,969","САПАРТАЙ АТА","Казына, 1"
"1,970","Сарбон","Гагарина, 54/1, 1 этаж"
"1,971","Сарвар","Ибрагим ата, 118/3, 1 этаж"
"1,972","Сарваржон","Ибрагим ата, 323, 1 этаж"
"1,973","Сарназ","Жанкожа батыра, 6, 1 этаж"
"1,974","САРЫ ЖАЗ","18-й микрорайон, 41/3"
"1,975","Сары-Арка","18-й микрорайон, 19/3, 1 этаж"
"1,976","Саттар","Чехова, 57/1"
"1,977","Сауле","Ынтымак, 46/2, 1 этаж"
"1,978","Сауле","Гулдер Ай, 37/1"
"1,979","Сауран","Жаркымбекова, 14, 1 этаж"
"1,980","Сафар","Народовольцев, 45"
"1,981","САФАРИ","Жибек жолы, 76Б, 1 этаж"
"1,982","Сафина","Жиделибайсын, 45"
"1,983","Сахарный центр","Орынбаева, 92, 1 этаж"
"1,984","САХИДА АПА","Мухаметкула Исламкулова, 102а"
"1,985","Сая","Турсынкул Утегенова, 7/10"
"1,986","Сая","Алматинская трасса, 11/2"
"1,987","Сая","Восток микрорайон, 45"
"1,988","Сая","Хантагы, 2/1"
"1,989","СаяЖан","Нурсултана Назарбаева проспект, 39, цокольный этаж"
"1,990","Саян","Мухаметкула Исламкулова, 43/1, 1 этаж"
"1,991","Светлана","Алимбетова, 119"
"1,992","Севара","Спатаева, 3/1"
"1,993","Севгина","Бершинтобе, 99/4"
"1,994","Севинч","Мадели Кожа, 128"
"1,995","Севинч","Аль-Фараби, 40"
"1,996","Сейітбек","Турсынкул Утегенова, 8134"
"1,997","СЕМЕЙ-АТА","Пшеничных, 28"
"1,998","СЕРДАЛЫ","Акпан батыра, 44"
"1,999","Серик","Койкелди Батыра, 29/1"
"2,000","Серік","Бабашулы, 131"
"2,001","Сетора","Бостандык 7-й переулок, 2, 1 этаж"
"2,002","Симар","Аль-Фараби, 55а"
"2,003","Симча","Амира Тимура, 312/1"
"2,004","Сириус","Конституции, 35а"
"2,005","Сити-маркет","Отырар микрорайон, 60"
"2,006","Ситора","Жибек жолы, 100/2"
"2,007","Ситора","Гастелло, 84/1"
"2,008","Смак","Шамши Калдаякова, 19, 1 этаж"
"2,009","Согдиана","Дулати, 167/1, 1 этаж"
"2,010","Соня","Исханова, 5/6"
"2,011","Спутник","Байтурсынова, 5, 1 этаж"
"2,012","Стиль","Аймаутова, 59/1"
"2,013","Су Зар","Кожанова, 42/1"
"2,014","Султан","Байтурсынова, 124/1"
"2,015","Султан","Кентаева, 2"
"2,016","Султан апа","Капал батыра, 2а"
"2,017","Султан Ата","Курылыс, 27/1 стр"
"2,018","СУЛТАНБЕЙ","Аль-Фараби, 83"
"2,019","Супер бум","Аскарова, 41, 1 этаж"
"2,020","Сыбага","Карасу микрорайон, 66"
"2,021","Сымбат","Асар микрорайон, 4/1"
"2,022","Сымбат","Отырар микрорайон, 11/1, 1 этаж"
"2,023","СЫМБАТ","Гани Иляева, 25, 1 этаж"
"2,024","Сымбат","Ташенова, 81"
"2,025","СЫМБАТ","Республики проспект, 30"
"2,026","Сымбат","Асар микрорайон, 14, 1 этаж"
"2,027","Сымбат","Жасталап, 48"
"2,028","Сыр сулуы","Сасбукаева, 99/1"
"2,029","СЭД","Акпан батыра, 102, 1 этаж"
"2,030","Т?ЖЕН АТА","Зердели, 1а, 1 этаж"
"2,031","Т?рсін-Ай","Бабашулы, 12/6"
"2,032","Т?рсынай","Аксуат, 1/1"
"2,033","ТА?","Восток микрорайон, 31/1"
"2,034","Та?шолпан","Назарова, 14"
"2,035","Табыс","Камбарулы, 56/1"
"2,036","Табыс","Бауыржан Момышулы проспект, 82"
"2,037","Табыс","Машат, 38/1"
"2,038","Табыс-2","Камбарулы, 18а"
"2,039","ТАБЫСТЫ","Аль-Фараби, 177/1"
"2,040","Тажiмурат ата","Казыбек Би, 176"
"2,041","ТАЖИБАЙ АТА","Биржан сал, 25/1"
"2,042","Таксофон","Аргынбекова, 23/1"
"2,043","Таксофон","Застенная, 20а"
"2,044","Таксофон","Жанаталап микрорайон, 1/10"
"2,045","ТАЛ?АТ","Сиргели, 226/2, 1 этаж"
"2,046","Талан","Дулати, 117"
"2,047","Тан","Аскарова, 34, 1 этаж"
"2,048","Тан","Нурсултана Назарбаева проспект, 20"
"2,049","Тандем","Желтоксан, 20, 1 этаж"
"2,050","Таншолпан","Жамалбека Шаймерденова, 202а"
"2,051","Таншолпан","Рыскулова, 59, 1 этаж"
"2,052","ТАНШОЛПАН","Ергеш ата Исраилова, 2"
"2,053","ТАССАЙ","Жибек жолы, 9/1, 1 этаж"
"2,054","Тастанбек ата","Атануры, 423"
"2,055","Тату","8-й микрорайон, 12, 1 этаж"
"2,056","Таубай","Спортивный микрорайон, 12/1, 1 этаж"
"2,057","Тахир","Шамши Калдаякова, 123/2"
"2,058","Тахир","Туркестан, 67/1"
"2,059","Тахир","Алимкулова, 38, 0 этаж"
"2,060","ТАХМИНА","Байтурсынова, 40/1"
"2,061","ТАХМИНА","Теспе, 32"
"2,062","ТЕМИРЛАН","Махамбет, 2/2"
"2,063","Темірлан","Карабура аулие, 3/1"
"2,064","Тенге","Казанкап акына, 28"
"2,065","Терекзор","Терекзор, 77"
"2,066","Тимур","Аскарова, 41а, 1 этаж"
"2,067","Тимур","Шокана Уалиханова, 225а"
"2,068","Тимур","17-й микрорайон, 2, 1 этаж"
"2,069","Тиын","Сайрам микрорайон, 10/2"
"2,070","То?жан","Музтау, 10"
"2,071","То?жан","Север микрорайон, 53, 1 этаж"
"2,072","ТОЙЛЫБАЙ АТА","Оналбаева, 59/1"
"2,073","Тойлыбай ата","Жанысбаев Оразбай ата, 1/1"
"2,074","Тойшы ата","Аблязимова, 37/1"
"2,075","Толен","Байтурсынова, 44"
"2,076","Томирис","Муратова, 10/1"
"2,077","Туннель","Саяжай, 1"
"2,078","Туран","Жангельдина, 18, 1 этаж"
"2,079","Турсын ай","Тамерлановское шоссе, 54/2"
"2,080","Тынык апа","Есалиева, 12/3"
"2,081","У Асема","Отырар, 33/2"
"2,082","У Зарины","Гагарина, 110, 1 этаж"
"2,083","У Ислама","Дулатбека Рахымбергенова, 1, 1 этаж"
"2,084","У Ферузы","Елшибек батыра, 106"
"2,085","Уак-Ата","Стадионная, 4, 1 этаж"
"2,086","Уктамбай","Мирсаат Ерметова, 1/5"
"2,087","УЛАР","Отырар микрорайон, 53/1"
"2,088","УлАр","Север микрорайон, 66, 1 этаж"
"2,089","Улбосын","Анар-Аже, 6836/2"
"2,090","Улдан ана","Капал батыра, 112/1"
"2,091","Улугбек","Круговой, 71"
"2,092","Умiт","Алпамыс батыра, 2/4"
"2,093","Умар","Казыбек Би, 138"
"2,094","УМАР-АЛИ","Дауылова, 20а"
"2,095","Умид","Абая проспект, 18/1"
"2,096","Умит","Диваева, 140"
"2,097","Умит","Рашидова, 14а/2, 1 этаж"
"2,098","Урбеш-Ай","17-й микрорайон, 12, 1 этаж"
"2,099","Уржан ана","Шокана Уалиханова, 1/1, 1 этаж"
"2,100","Уржан ана","Жибек жолы, 4/4Б"
"2,101","Урхантай апа","Нурсултана Назарбаева проспект, 47, 0 этаж"
"2,102","Усен","18-й микрорайон, 58, 1 этаж"
"2,103","Фарангиз","Есенова, 2/7"
"2,104","Фарзат","Адильбек Керимше, 51/1, 1 этаж"
"2,105","Фарида","Айдарлы, 2/2"
"2,106","Фархад","Корикты, 71/1"
"2,107","Фархат","Аскарова, 32/2"
"2,108","Фатима","Аргынбекова, 477"
"2,109","Фатима","Атасу, 7/2, 1 этаж"
"2,110","Фатима 2","Куаныш Толеметова, 69/24"
"2,111","Фатима апа","Атасу, 35"
"2,112","Фериде","Толе би, 37, 1 этаж"
"2,113","Феруза","Шокана Уалиханова, 215В/1, 1 этаж"
"2,114","Фея","17-й микрорайон, 15а/1"
"2,115","Фирдаус","Жибек жолы, 67/1"
"2,116","Фиркан","Бауыржан Момышулы проспект, 93/1"
"2,117","Фиркан","Дулати, 134"
"2,118","Фиркан","Толебаева, 1/1, 1 этаж"
"2,119","Фиркан","Шокана Уалиханова, 225в/2"
"2,120","Фламинго","Спортивный микрорайон, 4/1, 1 этаж"
"2,121","Фуд Мастер","Диваева, 100"
"2,122","Хадиша","16-й микрорайон, 42, 1 этаж"
